Gamma_IG3PS,Gamma_TPI,Gamma_PHETRA,Gamma_ALATA_L,sigma_km_product2_AKGMAL,sigma_km_product2_ALCD26xi,sigma_km_product1_CHORS,sigma_km_product2_GF6PTA,sigma_km_substrate1_GLUDy,sigma_km_product2_GLUDy,sigma_km_product2_HSTPT,sigma_km_product1_ICDHxm,sigma_km_substrate2_ICDHxm,sigma_km_substrate18_LMPD_s_0450_c_1_256,sigma_km_substrate2_MALS,sigma_km_product2_PRFGS,sigma_km_product2_SUCFUMtm
9.08e-23,0.562126348,492.5631516,0.19055248,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274522,0.951359825,0.887131365,0.924196422,0.735741945,0.757495959,0.931907999,0.186008178
1.7e-24,0.898605347,131.1201895,0.835494255,0.94263091,0.800389407,0.450064434,0.62943127,0.776166957,0.910545972,0.77364768,0.61879245,0.014525224,0.783723446,0.570674583,0.288055149,0.290221013
1.7e-24,0.898605347,131.1201895,0.835494255,0.187950054,0.630513291,0.430696486,0.259374881,0.375923077,0.909925541,0.280172512,0.00295785,0.151643573,0.62579616,0.833866861,0.895815702,0.75634172
1.7e-24,0.898605347,131.1201895,0.835494255,0.68950365,0.346557929,0.012864192,0.222969359,0.208803751,0.938904083,0.846732646,0.405647853,0.540944121,0.074104952,0.359766801,0.001542322,0.661860916
7.94e-25,0.886637848,130.0549841,0.917827364,0.12116656,0.852443836,0.571393142,0.227056152,0.448347823,0.318832081,0.081251283,0.452997455,0.349259,0.483767805,0.555272087,0.487333551,0.043380295
9.08e-23,0.562126348,492.5631516,0.19055248,0.751122397,0.937246191,0.439751264,0.408896544,0.73136445,0.113282365,0.981030879,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
7.94e-25,0.886637848,130.0549841,0.917827364,0.451577776,0.189451342,0.928027851,0.453213871,0.103833417,0.076771772,0.893702558,0.24095726,0.009664837,0.043171326,0.813536516,0.324407464,0.124184917
1.7e-24,0.898605347,131.1201895,0.835494255,0.18886151,0.400142725,0.686699197,0.109355006,0.526398202,0.774918435,0.624149684,0.908285615,0.130412089,0.400620321,0.80607635,0.648933983,0.996263208
1.7e-24,0.898605347,131.1201895,0.835494255,0.554810299,0.067229604,0.858857331,0.247810525,0.463392052,0.649385384,0.736226051,0.224003419,0.633809305,0.798263461,0.011695879,0.152342724,0.382974036
1.7e-24,0.898605347,131.1201895,0.835494255,0.94315601,0.684852484,0.245622592,0.689438122,0.807197501,0.77464943,0.903864857,0.872480067,0.370773477,0.995335588,0.733728577,0.071756379,0.322751264
6.19e-24,0.674245354,154.5159073,0.331779288,0.843111718,0.984475402,0.125690696,0.999053302,0.323766424,0.183637847,0.392934881,0.621577206,0.570108065,0.82936904,0.476945349,0.735173698,0.559964776
2.28e-27,0.94997959,317.8433877,0.809197002,0.818542684,0.132714946,0.41393529,0.234653526,0.756198596,0.375523327,0.297879177,0.604918223,0.426725408,0.730738958,0.775322015,0.558029652,0.022781708
1.7e-24,0.898605347,131.1201895,0.835494255,0.706543371,0.789526152,0.443436129,0.633336512,0.082510717,0.453398641,0.103546263,0.294013875,0.565541126,0.22783328,0.257016382,0.153345419,0.435905619
7.94e-25,0.886637848,130.0549841,0.917827364,0.686389824,0.496920943,0.960415396,0.012131788,0.607424579,0.343767663,0.792961436,0.505969883,0.07219875,0.321549591,0.499858444,0.53855143,0.253592368
7.94e-25,0.886637848,130.0549841,0.917827364,0.745203012,0.826543286,0.820410471,0.120101942,0.437543192,0.257859564,0.46106568,0.979744779,0.378510219,0.535770555,0.782988375,0.51525509,0.102690669
1.7e-24,0.898605347,131.1201895,0.835494255,0.993042148,0.798600229,0.724789442,0.566527124,0.883893995,0.796324032,0.491785176,0.690054273,0.072746453,0.515370368,0.009181809,0.023582425,0.487797425
7.94e-25,0.886637848,130.0549841,0.917827364,0.18886151,0.400142725,0.686840695,0.109355006,0.526398202,0.774918435,0.624149658,0.908285615,0.130412089,0.400620321,0.80607635,0.648933983,0.996263208
8.18e-24,0.445421964,228.4909627,0.278383448,0.868630925,0.387301793,0.385279688,0.066282757,0.384189732,0.292923956,0.455893361,0.933859075,0.811538753,0.848814649,0.992210923,0.064312355,0.038041361
1.7e-24,0.898605347,131.1201895,0.835494255,0.908549896,0.982750195,0.945576339,0.219331162,0.128796827,0.744596536,0.570172731,0.840894993,0.21380229,0.232276901,0.757464562,0.371482869,0.455107988
7.94e-25,0.886637848,130.0549841,0.917827364,0.819767838,0.829906464,0.549917078,0.159904065,0.031395507,0.063018942,0.071565481,0.491542911,0.596988698,0.680775133,0.029933786,0.910901742,0.743408398
6.19e-24,0.674245354,154.5159073,0.331779288,0.859787392,0.76984784,0.390195033,0.36422933,0.979937125,0.892543987,0.740762582,0.304925517,0.753471712,0.624774002,0.424973013,0.539945298,0.904785394
6.19e-24,0.674245354,154.5159073,0.331779288,0.083496316,0.896605814,0.508025144,0.664418749,0.25322377,0.057129587,0.222244612,0.141448241,0.39001864,0.184772628,0.630528639,0.52665172,0.218703094
7.94e-25,0.886637848,130.0549841,0.917827364,0.921424879,0.925988765,0.058620262,0.418477635,0.631134295,0.241166158,0.454615187,0.527237522,0.994403045,0.961290516,0.323395002,0.355928088,0.064562563
9.08e-23,0.562126348,492.5631516,0.19055248,0.236324942,0.479953584,0.126896099,0.277498013,0.56815381,0.02446824,0.500181766,0.10217113,0.633169411,0.771981765,0.706503361,0.399919835,0.044322552
1.26e-22,0.607919347,518.6546207,0.184974206,0.987339919,0.918821702,0.057248342,0.007174633,0.832892516,0.16209799,0.888862588,0.922172388,0.573168192,0.777528232,0.522325846,0.118647896,0.024890056
8.18e-24,0.445421964,228.4909627,0.278383448,0.083496316,0.896605814,0.508025193,0.664418749,0.25322377,0.057129587,0.222244612,0.141448241,0.39001864,0.184772628,0.630528639,0.52665172,0.218703094
7.94e-25,0.886637848,130.0549841,0.917827364,0.361579201,0.627750505,0.661822166,0.572352335,0.581096055,0.414621382,0.895966677,0.589464592,0.836602781,0.07438635,0.477070386,0.892344008,0.903004437
1.7e-24,0.898605347,131.1201895,0.835494255,0.343045703,0.87112977,0.308040493,0.552666271,0.611446626,0.153149955,0.866289516,0.779024952,0.263387936,0.644332783,0.96223387,0.006267978,0.00163667
7.94e-25,0.886637848,130.0549841,0.917827364,0.703351841,0.009985684,0.03962088,0.990949945,0.013046834,0.899098668,0.658657961,0.069770657,0.99754584,0.911643445,0.797020086,0.805998903,0.891223371
1.7e-24,0.898605347,131.1201895,0.835494255,0.987627299,0.869510921,0.510485823,0.173413029,0.870802869,0.903667981,0.965201205,0.946861694,0.650324754,0.731475305,0.950516336,0.214563317,0.038705296
7.94e-25,0.886637848,130.0549841,0.917827364,0.083496316,0.896605814,0.508025822,0.664418749,0.25322377,0.057129587,0.222244613,0.141448241,0.39001864,0.184772628,0.630528639,0.52665172,0.218703094
7.94e-25,0.886637848,130.0549841,0.917827364,0.433801922,0.819856287,0.532099352,0.844949762,0.713127355,0.562171808,0.876442945,0.212906345,0.511435336,0.825506598,0.463865587,0.823174581,0.426059354
1.13e-22,0.579390992,498.3899372,0.161445099,0.980831437,0.93069211,0.11606076,0.022348351,0.575509203,0.230992474,0.870742033,0.770054873,0.688254694,0.868634439,0.665581921,0.115895376,0.862622323
9.91e-23,0.566747316,535.2956698,0.184019478,0.382990591,0.111212811,0.62702313,0.741295722,0.568642831,0.276408517,0.188803708,0.23743002,0.138321406,0.120381097,0.591569548,0.581701498,0.150561903
1.7e-24,0.898605347,131.1201895,0.835494255,0.471259631,0.882292453,0.279060993,0.399678661,0.608977739,0.512415252,0.91781019,0.891146738,0.121070736,0.145017292,0.416387251,0.884573572,0.369519551
6.19e-24,0.674245354,154.5159073,0.331779288,0.427736447,0.713211822,0.645401801,0.611075971,0.033375883,0.58702469,0.225057006,0.506560113,0.545726609,0.571264752,0.563959195,0.639797781,0.945026657
6.19e-24,0.674245354,154.5159073,0.331779288,0.745203012,0.826543286,0.820284465,0.120101942,0.437543192,0.257859564,0.461065668,0.979744779,0.378510219,0.535770555,0.782988375,0.51525509,0.102690669
9.91e-23,0.566747316,535.2956698,0.184019478,0.249252917,0.099377603,0.468015345,0.633041727,0.116798378,0.13090706,0.569778727,0.442317379,0.130078278,0.302812201,0.647584777,0.393914536,0.324456536
7.94e-25,0.886637848,130.0549841,0.917827364,0.72182082,0.776088887,0.013372905,0.289620078,0.002458217,0.52621076,0.482051331,0.24540336,0.430909633,0.531332412,0.061078232,0.084503433,0.222913789
6.19e-24,0.674245354,154.5159073,0.331779288,0.865440275,0.007155327,0.809742996,0.643782663,0.962750063,0.747723737,0.008977842,0.378830821,0.011080675,0.195080259,0.784027659,0.509362663,0.678217859
1.7e-24,0.898605347,131.1201895,0.835494255,0.647360969,0.044045257,0.538052453,0.750329274,0.682751869,0.685103738,0.715673269,0.654042272,0.121829909,0.895073173,0.679945145,0.774682149,0.297437732
1.7e-24,0.898605347,131.1201895,0.835494255,0.996116265,0.907099221,0.597217365,0.68285694,0.878805496,0.665647729,0.044507636,0.556413095,0.761449526,0.072240176,0.273448776,0.505677369,0.344459315
1.7e-24,0.898605347,131.1201895,0.835494255,0.458544456,0.620596267,0.85857811,0.773361795,0.832888811,0.788351889,0.201766704,0.619000812,0.067110615,0.777430489,0.331935752,0.299944798,0.235029715
7.94e-25,0.886637848,130.0549841,0.917827364,0.604539559,0.879858695,0.634255963,0.558879108,0.103742478,0.233516654,0.657648453,0.442967105,0.287849455,0.074946476,0.067968369,0.140460088,0.148853168
7.94e-25,0.886637848,130.0549841,0.917827364,0.697048965,0.241137765,0.601111125,0.679953867,0.532284496,0.188996268,0.215729904,0.976833502,0.592971365,0.80139352,0.775102361,0.471347309,0.395392121
7.94e-25,0.886637848,130.0549841,0.917827364,0.947015128,0.772764006,0.700993737,0.6002108,0.326640101,0.957616495,0.807413685,0.335077659,0.298654015,0.038561525,0.922524934,0.619868724,0.159558267
1.7e-24,0.898605347,131.1201895,0.835494255,0.818897119,0.811834054,0.195761312,0.057109741,0.563940677,0.413894872,0.364239907,0.726104096,0.160161653,0.376121938,0.797561592,0.959853815,0.677920773
7.94e-25,0.886637848,130.0549841,0.917827364,0.070903597,0.261105766,0.571362514,0.448133795,0.025008759,0.252586134,0.594642689,0.517561317,0.241461252,0.758674009,0.907652736,0.714069521,0.276865526
8.18e-24,0.445421964,228.4909627,0.278383448,0.212390626,0.367260313,0.627583844,0.53863036,0.666135795,0.725278948,0.703117304,0.202028256,0.002889865,0.230885873,0.152528076,0.131064614,0.499796156
2.25e-24,0.673232482,192.73754,0.398161301,0.99017351,0.218520058,0.717136614,0.187153204,0.528008689,0.808168813,0.647977819,0.40436634,0.923926294,0.282024716,0.554957505,0.302177727,0.224570858
8.18e-24,0.445421964,228.4909627,0.278383448,0.751122397,0.937246191,0.439751295,0.408896544,0.73136445,0.113282365,0.98103088,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
1.7e-24,0.898605347,131.1201895,0.835494255,0.449110654,0.532286564,0.022466474,0.384169999,0.451004652,0.142563487,0.034366994,0.27573028,0.492193301,0.095794249,0.160810398,0.434102784,0.29426899
1.7e-24,0.898605347,131.1201895,0.835494255,0.789976878,0.683181785,0.948974145,0.784936534,0.153856379,0.224941548,0.867369635,0.299497807,0.81635935,0.989743026,0.242947372,0.565351715,0.818959191
7.94e-25,0.886637848,130.0549841,0.917827364,0.726712921,0.819606535,0.492000765,0.355389839,0.537789561,0.401240829,0.818230502,0.996452923,0.145452819,0.462741288,0.174723351,0.476752671,0.835731119
7.94e-25,0.886637848,130.0549841,0.917827364,0.818897119,0.811834054,0.195761384,0.057109741,0.563940677,0.413894872,0.364239902,0.726104096,0.160161653,0.376121937,0.797561592,0.959853815,0.677920773
7.94e-25,0.886637848,130.0549841,0.917827364,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359879,0.887131366,0.924196422,0.735741944,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.870043373,0.73097126,0.658551066,0.548027856,0.782554168,0.96300545,0.853566937,0.983052866,0.027962928,0.75153156,0.353672525,0.892914837,0.193037097
1.26e-22,0.607919347,518.6546207,0.184974206,0.751122397,0.937246191,0.439751338,0.408896544,0.73136445,0.113282365,0.981030885,0.55513825,0.957227413,0.234397305,0.513439236,0.55803371,0.353121847
8.09e-23,0.552941233,571.8356192,0.196160656,0.464924379,0.420920024,0.473994051,0.773418168,0.332926857,0.064132298,0.312405244,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
9.08e-23,0.562126348,492.5631516,0.19055248,0.300923131,0.504087782,0.202969573,0.115010706,0.572314258,0.107843355,0.028163632,0.502294146,0.397237714,0.186371628,0.26448294,0.823662123,0.717098089
7.94e-25,0.886637848,130.0549841,0.917827364,0.859787392,0.76984784,0.390194718,0.36422933,0.979937125,0.892543987,0.740762581,0.304925517,0.753471712,0.624774001,0.424973013,0.539945298,0.904785394
9.08e-23,0.562126348,492.5631516,0.19055248,0.249252917,0.099377604,0.468015249,0.633041727,0.116798378,0.13090706,0.569778724,0.442317379,0.130078278,0.302812201,0.647584777,0.393914536,0.324456536
9.91e-23,0.566747316,535.2956698,0.184019478,0.236324942,0.479953584,0.126896083,0.277498013,0.56815381,0.02446824,0.500181765,0.10217113,0.633169411,0.771981765,0.706503361,0.399919835,0.044322552
1.7e-24,0.898605347,131.1201895,0.835494255,0.142299732,0.052869174,0.995889589,0.082702139,0.024764195,0.431243639,0.26063034,0.673526336,0.709024046,0.827184339,0.553221202,0.518185272,0.421942529
4.4e-23,0.569605706,476.6489228,0.216887371,0.980831437,0.93069211,0.116060757,0.022348351,0.575509203,0.230992474,0.870742037,0.770054872,0.688254694,0.868634439,0.665581921,0.115895376,0.862622323
1.7e-24,0.898605347,131.1201895,0.835494255,0.52703285,0.537878572,0.769964332,0.791146824,0.111086062,0.312526117,0.199399951,0.052519194,0.600645069,0.877394093,0.64763908,0.324557243,0.646961431
2.25e-24,0.673232482,192.73754,0.398161301,0.174131374,0.488190884,0.886016516,0.771966292,0.531039132,0.207383263,0.746450144,0.46874061,0.342680342,0.942906787,0.861646917,0.49490946,0.042853473
2.25e-24,0.673232482,192.73754,0.398161301,0.661292576,0.25829043,0.214669524,0.218618831,0.843961432,0.080589189,0.060180379,0.253060083,0.229545411,0.312793828,0.162032273,0.125696431,0.408878886
1.7e-24,0.898605347,131.1201895,0.835494255,0.683282945,0.318054254,0.586778263,0.804710859,0.757778395,0.085522924,0.559337368,0.883025331,0.20754486,0.443384599,0.116884127,0.469812757,0.733765278
1.7e-24,0.898605347,131.1201895,0.835494255,0.937028244,0.914069636,0.267789455,0.676650615,0.000136101,0.156867852,0.636267947,0.485128092,0.806235416,0.048430407,0.221224595,0.805429846,0.952161346
1.7e-24,0.898605347,131.1201895,0.835494255,0.966513009,0.243910542,0.463539698,0.313137313,0.832323086,0.585541782,0.352326763,0.135219898,0.975238259,0.845467337,0.098544224,0.025849423,0.015210106
1.7e-24,0.898605347,131.1201895,0.835494255,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359806,0.887131366,0.924196422,0.735741944,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.193585035,0.546548017,0.377664782,0.114418631,0.024959941,0.82679098,0.385458959,0.628375287,0.189925601,0.138319337,0.811997865,0.435240418,0.895984791
7.94e-25,0.886637848,130.0549841,0.917827364,0.259536494,0.200764973,0.3179553,0.171084351,0.738628588,0.040328316,0.702544815,0.148492513,0.310818495,0.392742198,0.749461169,0.019405633,0.821107073
1.7e-24,0.898605347,131.1201895,0.835494255,0.686389824,0.496920943,0.960362237,0.012131788,0.607424579,0.343767663,0.792961466,0.505969882,0.07219875,0.321549591,0.499858444,0.53855143,0.253592368
1.13e-22,0.579390992,498.3899372,0.161445099,0.221426563,0.735915102,0.112447057,0.480764841,0.948238756,0.897308833,0.704355766,0.988859285,0.73937104,0.916846469,0.574328065,0.173086177,0.974612635
1.7e-24,0.898605347,131.1201895,0.835494255,0.451577776,0.189451342,0.927966621,0.453213871,0.103833417,0.076771772,0.893702593,0.24095726,0.009664837,0.043171326,0.813536516,0.324407464,0.124184917
7.94e-25,0.886637848,130.0549841,0.917827364,0.727548356,0.185651329,0.338071552,0.695254614,0.152027639,0.40397394,0.563625118,0.539248785,0.802027726,0.37402025,0.307802562,0.858804999,0.736688561
1.26e-22,0.607919347,518.6546207,0.184974206,0.464924379,0.420920024,0.473993943,0.773418168,0.332926857,0.064132298,0.312405245,0.512631701,0.802255632,0.75132812,0.462520056,0.221128757,0.512941263
6.19e-24,0.674245354,154.5159073,0.331779288,0.673394756,0.324892398,0.002530528,0.589346662,0.720895597,0.310274523,0.951359825,0.887131365,0.924196422,0.735741945,0.757495959,0.931907999,0.186008178
7.94e-25,0.886637848,130.0549841,0.917827364,0.979424334,0.143284497,0.61735807,0.878899665,0.217530281,0.529777122,0.203725606,0.237361781,0.049604819,0.117911799,0.494286678,0.729765911,0.511887403
1.26e-22,0.607919347,518.6546207,0.184974206,0.427736447,0.713211822,0.645401853,0.611075971,0.033375883,0.58702469,0.225057006,0.506560113,0.545726609,0.571264752,0.563959195,0.639797781,0.945026657
6.19e-24,0.674245354,154.5159073,0.331779288,0.40398185,0.884627649,0.995145801,0.141482036,0.044785225,0.263089935,0.762902593,0.180442344,0.556866632,0.606905338,0.885426273,0.100941386,0.408419421
7.94e-25,0.886637848,130.0549841,0.917827364,0.173877057,0.544914614,0.616643781,0.909299468,0.251146049,0.514890866,0.732753363,0.247574135,0.340985432,0.085724629,0.660141879,0.342580514,0.819353837
9.91e-23,0.566747316,535.2956698,0.184019478,0.08222148,0.735965057,0.023036475,0.877105831,0.855098843,0.71962281,0.849349391,0.628027524,0.890547778,0.787197848,0.536733162,0.339853855,0.599868391
